content,type
Web Scraping Practice,heading
Available Products,heading
Product Table,heading
Watch This Video,heading
Contact Us,heading
Product Information,heading
Featured Products,heading
Welcome to the web scraping task! Use your skills to extract the required data from this page.,paragraph
Sharp Objects,paragraph
£47.82,paragraph
✔ In stock,paragraph
"In a Dark, Dark Wood",paragraph
£19.63,paragraph
✔ In stock,paragraph
The Past Never Ends,paragraph
£56.50,paragraph
✔ In stock,paragraph
A Murder in Time,paragraph
£16.64,paragraph
 Out stock,paragraph
Wireless Headphones,paragraph
$49.99,paragraph
"Available colors: Black, White, Blue",paragraph
Smart Speaker,paragraph
$89.99,paragraph
"Available colors: Grey, Black",paragraph
Smart Watch,paragraph
$149.99,paragraph
"Available colors: Black, Silver, Gold",paragraph
© 2024 Web Scraping Practice. All Rights Reserved.,paragraph
Laptop,list
Smartphone,list
Tablet,list
Smartwatch,list
